brand,title,price,final_resale_price,n_likes,limited,model,condition,m_model,material,color,sold_out,description,mean_retail_price
Louis Vuitton,Keepall bag,9141.18,6169.53,65.0,1,keepall,Never worn,Keepall,Plastic,Multicolour,1.0,,1850.0
Louis Vuitton,Twist leather crossbody bag,3704.94,3136.29,15.0,1,twist,Never worn,Twist,Leather,Blue,1.0,,2600.0
Louis Vuitton,Speedy cloth handbag,1929.17,1607.5,59.0,1,speedy,Very good condition,Speedy,Cloth,Multicolour,1.0,,1790.0
Louis Vuitton,Speedy cloth handbag,3920.37,3528.33,38.0,1,speedy,Never worn,Speedy,Cloth,Multicolour,1.0,,1790.0
Louis Vuitton,Pochette Accessoire cloth clutch bag,1831.78,1782.63,82.0,1,pochette,Never worn,Pochette Accessoire,Cloth,Brown,1.0,,660.0
Louis Vuitton,Metis cloth crossbody bag,2679.76,2143.63,42.0,1,metis,Good condition,Metis,Cloth,Brown,1.0,,1742.0
Louis Vuitton,Speedy cloth handbag,2666.18,1904.41,27.0,1,speedy,Very good condition,Speedy,Cloth,Brown,1.0,,1790.0
Louis Vuitton,Metis cloth crossbody bag,2522.8,2522.8,59.0,1,metis,Good condition,Metis,Cloth,Brown,1.0,,1742.0
Louis Vuitton,Pochette Accessoire cloth clutch bag,446.78,446.78,107.0,1,pochette,Very good condition,Pochette Accessoire,Cloth,Multicolour,1.0,,660.0
Louis Vuitton,Speedy leather handbag,1385.0,1385.0,16.0,1,speedy,Good condition,Speedy,Leather,White,1.0,,1790.0
Louis Vuitton,Speedy ostrich handbag,3498.0,2518.0,38.0,1,speedy,Good condition,Speedy,Exotic leathers,Pink,1.0,,10200.0
Louis Vuitton,Twist leather crossbody bag,2501.94,2233.88,66.0,1,twist,Very good condition,Twist,Leather,Black,1.0,,2600.0
Louis Vuitton,Speedy handbag,1474.36,1474.36,48.0,1,speedy,Very good condition,Speedy,Cotton,Camel,1.0,,1790.0
Louis Vuitton,Speedy cloth crossbody bag,893.55,856.62,27.0,1,speedy,Very good condition,Speedy,Cloth,Ecru,1.0,,1790.0
Louis Vuitton,Twist leather crossbody bag,2278.55,2226.91,44.0,1,twist,Very good condition,Twist,Leather,Beige,1.0,,2600.0
Louis Vuitton,Alma leather handbag,1474.36,1399.89,161.0,1,alma,Very good condition,Alma,Cloth,Multicolour,1.0,,1810.0
Louis Vuitton,Neverfull cloth tote,1778.16,1778.16,1.0,1,neverfull,Very good condition,Neverfull,Cloth,Brown,1.0,,1070.0
Louis Vuitton,Neverfull cloth tote,2224.94,2224.94,70.0,1,neverfull,Never worn,Neverfull,Cloth,Beige,1.0,,1510.0
Louis Vuitton,Metis leather handbag,2680.65,2680.65,3.0,1,metis,Very good condition,Metis,Leather,Brown,1.0,,1742.0
Louis Vuitton,NéoNoé BB leather bag,4541.64,4541.64,7.0,1,néonoé,Never worn,NéoNoé BB,Leather,Blue,1.0,,1640.0
Louis Vuitton,Pochette Accessoire cloth clutch bag,536.13,536.13,24.0,1,pochette,Good condition,Pochette Accessoire,Cloth,Brown,1.0,,660.0
Louis Vuitton,Neverfull cloth handbag,1603.92,1603.92,25.0,1,neverfull,Very good condition,Neverfull,Cloth,Multicolour,1.0,,1070.0
Louis Vuitton,Pochette Accessoire cloth clutch bag,837.94,837.94,106.0,1,pochette,"Never worn, with tag",Pochette Accessoire,Cloth,Pink,1.0,,660.0
Louis Vuitton,Alma handbag,1000.0,1000.0,1.0,1,alma,Fair condition,Alma,Synthetic,Silver,1.0,,1810.0
Louis Vuitton,Neverfull cloth handbag,2680.65,2680.65,4.0,1,neverfull,Never worn,Neverfull,Cloth,Red,1.0,,1510.0
Louis Vuitton,Neverfull cloth handbag,3529.52,3038.07,4.0,1,neverfull,Never worn,Neverfull,Cloth,Brown,1.0,,1510.0
Louis Vuitton,Neverfull cloth tote,3082.75,2233.88,12.0,1,neverfull,Never worn,Neverfull,Cloth,Brown,1.0,,1510.0
Louis Vuitton,Neverfull cloth handbag,1697.75,1653.07,39.0,1,neverfull,Never worn,Neverfull,Cloth,Orange,1.0,,1070.0
Louis Vuitton,Neverfull cloth handbag,1875.56,1866.63,46.0,1,neverfull,Never worn,Neverfull,Cloth,Green,1.0,,1070.0
Louis Vuitton,Neverfull cloth tote,2189.2,1984.57,12.0,1,neverfull,Never worn,Neverfull,Cloth,Multicolour,1.0,,1070.0
Louis Vuitton,Onthego leather handbag,1787.1,1787.1,110.0,1,onthego,Never worn,Onthego,Leather,Pink,1.0,,2290.0
Louis Vuitton,Neverfull cloth handbag,3574.2,2501.94,6.0,1,neverfull,Very good condition,Neverfull,Cloth,Pink,1.0,,1510.0
Louis Vuitton,Capucines leather handbag,7863.24,7863.24,7.0,1,capucines,Never worn,Capucines,Leather,Black,1.0,,3950.0
Louis Vuitton,Pochette Accessoire cloth clutch bag,1428.79,1072.26,46.0,1,pochette,Very good condition,Pochette Accessoire,Cloth,Other,1.0,,660.0
Louis Vuitton,NéoNoé cloth handbag,3127.43,2412.59,28.0,1,néonoé,Very good condition,NéoNoé,Cloth,Multicolour,1.0,,1660.0
Louis Vuitton,Keepall bag,1545.84,1545.84,28.0,1,keepall,Good condition,Keepall,Cotton,Blue,1.0,,1850.0
Louis Vuitton,Onthego cloth tote,2724.66,2626.65,56.0,1,onthego,Never worn,Onthego,Cloth,Multicolour,1.0,,2290.0
Louis Vuitton,Neverfull cloth tote,2864.24,2780.44,89.0,1,neverfull,Very good condition,Neverfull,Cloth,Orange,1.0,,1510.0
